source_type,source_name,text,published_at,engagement,claim,verdict,clean_text,sentiment_score,sentiment,media_bias,truth_bucket,published_date
news,Advocate.com,"The debate over how The New York Times covers transgender
 people is intensifying again, this time around a basic journalistic question: Who gets quoted when stories are about them?
A new analysis … [+4896 chars]",2026-05-01T19:06:32Z,0,,,"The debate over how The New York Times covers transgender people is intensifying again, this time around a basic journalistic question Who gets quoted when stories are about them? A new analysis 4896 chars",0.0909090909090909,positive,leans left,unknown,2026-05-01
news,The Times of India,"Follow Us On Social Media
'They Expect A Man!': Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor… [+898 chars]",2026-05-01T18:32:15Z,0,,,Follow Us On Social Media 'They Expect A Man!' Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor 898 chars,0.041666666666666664,neutral,center,unknown,2026-05-01
news,The Times of India,"Follow Us On Social Media
'They Expect A Man!': Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor… [+898 chars]",2026-05-01T18:32:01Z,0,,,Follow Us On Social Media 'They Expect A Man!' Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor 898 chars,0.041666666666666664,neutral,center,unknown,2026-05-01
news,The Times of India,"Follow Us On Social Media
'They Expect A Man!': Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor… [+898 chars]",2026-05-01T18:30:32Z,0,,,Follow Us On Social Media 'They Expect A Man!' Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor 898 chars,0.041666666666666664,neutral,center,unknown,2026-05-01
news,The Times of India,"Follow Us On Social Media
'They Expect A Man!': Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor… [+898 chars]",2026-05-01T18:29:30Z,0,,,Follow Us On Social Media 'They Expect A Man!' Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor 898 chars,0.041666666666666664,neutral,center,unknown,2026-05-01
news,The Times of India,"Follow Us On Social Media
'They Expect A Man!': Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor… [+898 chars]",2026-05-01T18:27:52Z,0,,,Follow Us On Social Media 'They Expect A Man!' Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor 898 chars,0.041666666666666664,neutral,center,unknown,2026-05-01
news,The Times of India,"<ul><li>News</li>
<li>India News</li>
<li>Ladakh sets in motion process for preparing first ever 'Master Plan' for UT</li></ul>
Follow Us On Social Media
'They Expect A Man!': Paisabazaar CEO San… [+1029 chars]",2026-05-01T18:23:20Z,0,,,ul li News li li India News li li Ladakh sets in motion process for preparing first ever 'Master Plan' for UT li ul Follow Us On Social Media 'They Expect A Man!' Paisabazaar CEO San 1029 chars,0.14583333333333334,positive,center,unknown,2026-05-01
news,The Times of India,"Follow Us On Social Media
'They Expect A Man!': Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor… [+1179 chars]",2026-05-01T18:14:00Z,0,,,Follow Us On Social Media 'They Expect A Man!' Paisabazaar CEO Santosh Agarwal On Flipping Gender Bias In Fintech'You Get A Woman Discount?' Paisabazaar CEO On Navigating Male-Dominated Fintech Wor 1179 chars,0.041666666666666664,neutral,center,unknown,2026-05-01
news,Fortune,"Jerome Powells continued presence on the Federal Reserves board of governors after his term as chairman ends might be awkward for his replacement, but could also be a big favor for Kevin Warsh.On Wed… [+5638 chars]",2026-05-01T14:51:55Z,0,,,"Jerome Powells continued presence on the Federal Reserves board of governors after his term as chairman ends might be awkward for his replacement, but could also be a big favor for Kevin Warsh.On Wed 5638 chars",-0.3,negative,center,unknown,2026-05-01
news,Fair Observer,"Within minutes of the shots fired near the security checkpoint at the White House Correspondents Association (WHCD) dinner on April 25, social media had already delivered its verdict: STAGED. Never m… [+12596 chars]",2026-05-01T13:54:49Z,0,,,"Within minutes of the shots fired near the security checkpoint at the White House Correspondents Association WHCD dinner on April 25, social media had already delivered its verdict STAGED. Never m 12596 chars",0.044444444444444446,neutral,center,unknown,2026-05-01
news,Activistpost.com,"Im watching the numbers flicker on the screen — Brent crude at $92, WTI hovering near $97 — and I feel a profound sense of dread. This isnt a market; its a meticulously crafted fiction. We are being … [+10381 chars]",2026-05-01T00:00:00Z,0,,,"Im watching the numbers flicker on the screen Brent crude at 92, WTI hovering near 97 and I feel a profound sense of dread. This isnt a market its a meticulously crafted fiction. We are being 10381 chars",-0.1722222222222222,negative,right,unknown,2026-05-01
news,The Times of India,"Follow Us On Social Media
Trump Explodes Over 86 47 Post, Calls Comey Dirty Cop In Deadly Code Row Trump Explodes Over 86 47 Post, Calls Comey Dirty Cop In Deadly Code Row Trump Explodes Over 86 47 … [+1276 chars]",2026-04-30T19:30:52Z,0,,,"Follow Us On Social Media Trump Explodes Over 86 47 Post, Calls Comey Dirty Cop In Deadly Code Row Trump Explodes Over 86 47 Post, Calls Comey Dirty Cop In Deadly Code Row Trump Explodes Over 86 47 1276 chars",-0.31333333333333335,negative,center,unknown,2026-04-30
news,Memeorandum.com,"memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.
Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]",2026-04-30T17:50:00Z,0,,,"memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now. Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out 72 chars",0.14285714285714285,positive,unknown,unknown,2026-04-30
news,Al Jazeera English,The United States Supreme Court has voided a key provision of a landmark civil rights law by ruling that the electoral map of Louisiana had been drawn up unconstitutionally to create two Black-majori… [+8985 chars],2026-04-30T13:42:03Z,0,,,The United States Supreme Court has voided a key provision of a landmark civil rights law by ruling that the electoral map of Louisiana had been drawn up unconstitutionally to create two Black-majori 8985 chars,0.0,neutral,leans left,unknown,2026-04-30
news,The Daily Caller,"A convicted criminal with violent intentions attended an irregular Catholic community, and FBI agents turned it into an anti-Catholic witch hunt.
The Trump administration released a report Thursday … [+11405 chars]",2026-04-30T11:31:42Z,0,,,"A convicted criminal with violent intentions attended an irregular Catholic community, and FBI agents turned it into an anti-Catholic witch hunt. The Trump administration released a report Thursday 11405 chars",-0.4000000000000001,negative,right,unknown,2026-04-30
news,Ibtimes.com.au,"PALM BEACH, Fla. — President Donald Trump unleashed a fiery accusation on Truth Social Wednesday, claiming that former FBI Director James Comey used ""86"" — a mob term for ""kill him"" — in a veiled thr… [+5202 chars]",2026-04-30T06:53:35Z,0,,,"PALM BEACH, Fla. President Donald Trump unleashed a fiery accusation on Truth Social Wednesday, claiming that former FBI Director James Comey used 86 a mob term for kill him in a veiled thr 5202 chars",0.016666666666666666,neutral,leans left,unknown,2026-04-30
